chrom	start	end	name	gie_stain
chrUn_AABR07024100v1	0	507		gneg
chrUn_AABR07024101v1	0	4996		gneg
chrUn_AABR07024102v1	0	54789		gneg
chrUn_AABR07024103v1	0	832		gneg
chrUn_AABR07024104v1	0	66549		gneg
chrUn_AABR07024105v1	0	4462		gneg
chrUn_AABR07024106v1	0	41833		gneg
chrUn_AABR07024114v1	0	836		gneg
chrUn_AABR07024115v1	0	4365		gneg
chrUn_AABR07024118v1	0	4550		gneg
chrUn_AABR07024119v1	0	12249		gneg
chrUn_AABR07024120v1	0	52816		gneg
chrUn_AABR07024121v1	0	586		gneg
chrUn_AABR07024122v1	0	18491		gneg
chrUn_AABR07024123v1	0	3961		gneg
chrUn_AABR07024124v1	0	82313		gneg
chrUn_AABR07024125v1	0	904		gneg
chrUn_AABR07024138v1	0	897		gneg
chrUn_AABR07024145v1	0	68209		gneg
chrUn_AABR07024150v1	0	10542		gneg
chrUn_AABR07024159v1	0	3318		gneg
chrUn_AABR07024160v1	0	980		gneg
chrUn_AABR07024165v1	0	2419		gneg
chrUn_AABR07024177v1	0	602		gneg
chrUn_AABR07024178v1	0	1101		gneg
chrUn_AABR07024182v1	0	920		gneg
chrUn_AABR07024187v1	0	3745		gneg
chrUn_AABR07024188v1	0	156216		gneg
chrUn_AABR07024189v1	0	659		gneg
chrUn_AABR07024192v1	0	32611		gneg
chrUn_AABR07024193v1	0	3838		gneg
chrUn_AABR07024194v1	0	559		gneg
chrUn_AABR07024195v1	0	1593		gneg
chrUn_AABR07024196v1	0	1098		gneg
chrUn_AABR07024203v1	0	96120		gneg
chrUn_AABR07024204v1	0	1554		gneg
chrUn_AABR07024205v1	0	8757		gneg
chrUn_AABR07024206v1	0	20997		gneg
chrUn_AABR07024221v1	0	1065		gneg
chrUn_AABR07024222v1	0	4316		gneg
chrUn_AABR07024223v1	0	754		gneg
chrUn_AABR07024226v1	0	550		gneg
chrUn_AABR07024227v1	0	693		gneg
chrUn_AABR07024228v1	0	3757		gneg
chrUn_AABR07024229v1	0	1833		gneg
chrUn_AABR07024262v1	0	15893		gneg
chrUn_AABR07024263v1	0	26083		gneg
chrUn_AABR07024264v1	0	11303		gneg
chrUn_AABR07024265v1	0	1285		gneg
chrUn_AABR07024266v1	0	594		gneg
chrUn_AABR07024267v1	0	3745		gneg
chrUn_AABR07024268v1	0	230		gneg
chrUn_AABR07024269v1	0	1048		gneg
chrUn_AABR07024286v1	0	18032		gneg
chrUn_AABR07024289v1	0	692		gneg
chrUn_AABR07024290v1	0	3036		gneg
chrUn_AABR07024291v1	0	140190		gneg
chrUn_AABR07024292v1	0	5784		gneg
chrUn_AABR07024293v1	0	1238		gneg
chrUn_AABR07024294v1	0	678		gneg
chrUn_AABR07024304v1	0	568		gneg
chrUn_AABR07024319v1	0	708		gneg
chrUn_AABR07024320v1	0	613		gneg
chrUn_AABR07024321v1	0	6849		gneg
chrUn_AABR07024322v1	0	992		gneg
chrUn_AABR07024323v1	0	1633		gneg
chrUn_AABR07024331v1	0	1116		gneg
chrUn_AABR07024332v1	0	1222		gneg
chrUn_AABR07024349v1	0	666		gneg
chrUn_AABR07024350v1	0	20296		gneg
chrUn_AABR07024351v1	0	628		gneg
chrUn_AABR07024371v1	0	721		gneg
chrUn_AABR07024374v1	0	1080		gneg
chrUn_AABR07024382v1	0	161493		gneg
chrUn_AABR07024383v1	0	744		gneg
chrUn_AABR07024390v1	0	2896		gneg
chrUn_AABR07024393v1	0	673		gneg
chrUn_AABR07024394v1	0	13714		gneg
chrUn_AABR07024395v1	0	821		gneg
chrUn_AABR07024396v1	0	736		gneg
chrUn_AABR07024397v1	0	2454		gneg
chrUn_AABR07024398v1	0	44505		gneg
chrUn_AABR07024399v1	0	2218		gneg
chrUn_AABR07024421v1	0	97361		gneg
chrUn_AABR07024427v1	0	1529		gneg
chrUn_AABR07024428v1	0	1455		gneg
chrUn_AABR07024432v1	0	579		gneg
chrUn_AABR07024433v1	0	637		gneg
chrUn_KL568167v1	0	11182		gneg
chrUn_KL568168v1	0	2015		gneg
chrUn_KL568169v1	0	21595		gneg
chrUn_KL568170v1	0	12470		gneg
chrUn_KL568171v1	0	2141		gneg
chrUn_KL568172v1	0	2699		gneg
chrUn_KL568173v1	0	11069		gneg
chrUn_KL568174v1	0	12149		gneg
chrUn_KL568175v1	0	1861		gneg
chrUn_KL568176v1	0	21235		gneg
chrUn_KL568177v1	0	5691		gneg
chrUn_KL568178v1	0	2131		gneg
chrUn_KL568179v1	0	8008		gneg
chrUn_KL568180v1	0	7344		gneg
chrUn_KL568181v1	0	1130		gneg
chrUn_KL568182v1	0	1923		gneg
chrUn_KL568183v1	0	3177		gneg
chrUn_KL568184v1	0	1761		gneg
chrUn_KL568185v1	0	34391		gneg
chrUn_KL568186v1	0	4076		gneg
chrUn_KL568187v1	0	34792		gneg
chrUn_KL568188v1	0	2287		gneg
chrUn_KL568189v1	0	1389		gneg
chrUn_KL568190v1	0	11903		gneg
chrUn_KL568191v1	0	33866		gneg
chrUn_KL568192v1	0	3219		gneg
chrUn_KL568193v1	0	31523		gneg
chrUn_KL568194v1	0	2533		gneg
chrUn_KL568195v1	0	5841		gneg
chrUn_KL568196v1	0	29796		gneg
chrUn_KL568197v1	0	6090		gneg
chrUn_KL568198v1	0	15369		gneg
chrUn_KL568199v1	0	12984		gneg
chrUn_KL568200v1	0	5023		gneg
chrUn_KL568201v1	0	5537		gneg
chrUn_KL568202v1	0	7012		gneg
chrUn_KL568203v1	0	1485		gneg
chrUn_KL568204v1	0	1028		gneg
chrUn_KL568205v1	0	2858		gneg
chrUn_KL568206v1	0	795		gneg
chrUn_KL568207v1	0	2985		gneg
chrUn_KL568208v1	0	6280		gneg
chrUn_KL568209v1	0	1619		gneg
chrUn_KL568210v1	0	1709		gneg
chrUn_KL568211v1	0	1424		gneg
chrUn_KL568212v1	0	17641		gneg
chrUn_KL568213v1	0	3120		gneg
chrUn_KL568214v1	0	3273		gneg
chrUn_KL568215v1	0	15161		gneg
chrUn_KL568216v1	0	1404		gneg
chrUn_KL568217v1	0	2047		gneg
chrUn_KL568218v1	0	14221		gneg
chrUn_KL568219v1	0	18520		gneg
chrUn_KL568220v1	0	3003		gneg
chrUn_KL568221v1	0	2110		gneg
chrUn_KL568222v1	0	1709		gneg
chrUn_KL568223v1	0	7105		gneg
chrUn_KL568224v1	0	13776		gneg
chrUn_KL568225v1	0	11178		gneg
chrUn_KL568226v1	0	6062		gneg
chrUn_KL568227v1	0	2774		gneg
chrUn_KL568228v1	0	26706		gneg
chrUn_KL568229v1	0	1413		gneg
chrUn_KL568230v1	0	1324		gneg
chrUn_KL568231v1	0	2132		gneg
chrUn_KL568232v1	0	2600		gneg
chrUn_KL568233v1	0	3210		gneg
chrUn_KL568234v1	0	5584		gneg
chrUn_KL568235v1	0	7064		gneg
chrUn_KL568236v1	0	1497		gneg
chrUn_KL568237v1	0	4201		gneg
chrUn_KL568238v1	0	1101		gneg
chrUn_KL568239v1	0	1652		gneg
chrUn_KL568240v1	0	1765		gneg
chrUn_KL568241v1	0	1994		gneg
chrUn_KL568242v1	0	4688		gneg
chrUn_KL568243v1	0	1724		gneg
chrUn_KL568244v1	0	1998		gneg
chrUn_KL568245v1	0	21811		gneg
chrUn_KL568246v1	0	5769		gneg
chrUn_KL568247v1	0	3663		gneg
chrUn_KL568248v1	0	22287		gneg
chrUn_KL568249v1	0	1218		gneg
chrUn_KL568250v1	0	1250		gneg
chrUn_KL568251v1	0	15341		gneg
chrUn_KL568252v1	0	2198		gneg
chrUn_KL568253v1	0	1810		gneg
chrUn_KL568254v1	0	5473		gneg
chrUn_KL568255v1	0	1519		gneg
chrUn_KL568256v1	0	4854		gneg
chrUn_KL568257v1	0	35119		gneg
chrUn_KL568258v1	0	2384		gneg
chrUn_KL568259v1	0	4341		gneg
chrUn_KL568260v1	0	4168		gneg
chrUn_KL568261v1	0	1528		gneg
chrUn_KL568262v1	0	2018		gneg
chrUn_KL568263v1	0	5941		gneg
chrUn_KL568264v1	0	1570		gneg
chrUn_KL568265v1	0	1130		gneg
chrUn_KL568266v1	0	9310		gneg
chrUn_KL568267v1	0	3782		gneg
chrUn_KL568268v1	0	5463		gneg
chrUn_KL568269v1	0	1156		gneg
chrUn_KL568270v1	0	19998		gneg
chrUn_KL568271v1	0	5328		gneg
chrUn_KL568272v1	0	17134		gneg
chrUn_KL568273v1	0	3880		gneg
chrUn_KL568274v1	0	5820		gneg
chrUn_KL568275v1	0	1066		gneg
chrUn_KL568276v1	0	1684		gneg
chrUn_KL568277v1	0	1370		gneg
chrUn_KL568278v1	0	1760		gneg
chrUn_KL568279v1	0	1061		gneg
chrUn_KL568280v1	0	4786		gneg
chrUn_KL568281v1	0	5240		gneg
chrUn_KL568282v1	0	48841		gneg
chrUn_KL568283v1	0	11645		gneg
chrUn_KL568284v1	0	1512		gneg
chrUn_KL568285v1	0	12244		gneg
chrUn_KL568286v1	0	5311		gneg
chrUn_KL568287v1	0	3520		gneg
chrUn_KL568288v1	0	7455		gneg
chrUn_KL568289v1	0	5072		gneg
chrUn_KL568290v1	0	5288		gneg
chrUn_KL568291v1	0	2924		gneg
chrUn_KL568292v1	0	38332		gneg
chrUn_KL568293v1	0	5847		gneg
chrUn_KL568294v1	0	2680		gneg
chrUn_KL568295v1	0	25592		gneg
chrUn_KL568296v1	0	1127		gneg
chrUn_KL568297v1	0	5492		gneg
chrUn_KL568298v1	0	1200		gneg
chrUn_KL568299v1	0	4870		gneg
chrUn_KL568300v1	0	10110		gneg
chrUn_KL568301v1	0	2759		gneg
chrUn_KL568302v1	0	1571		gneg
chrUn_KL568303v1	0	22032		gneg
chrUn_KL568304v1	0	10256		gneg
chrUn_KL568305v1	0	2760		gneg
chrUn_KL568306v1	0	6288		gneg
chrUn_KL568307v1	0	29238		gneg
chrUn_KL568308v1	0	1740		gneg
chrUn_KL568309v1	0	3422		gneg
chrUn_KL568310v1	0	6164		gneg
chrUn_KL568311v1	0	3190		gneg
chrUn_KL568312v1	0	20693		gneg
chrUn_KL568313v1	0	5919		gneg
chrUn_KL568314v1	0	33342		gneg
chrUn_KL568315v1	0	91871		gneg
chrUn_KL568316v1	0	16204		gneg
chrUn_KL568317v1	0	16248		gneg
chrUn_KL568318v1	0	125475		gneg
chrUn_KL568319v1	0	119946		gneg
chrUn_KL568320v1	0	2745		gneg
chrUn_KL568321v1	0	26605		gneg
chrUn_KL568322v1	0	33480		gneg
chrUn_KL568323v1	0	14207		gneg
chrUn_KL568324v1	0	66040		gneg
chrUn_KL568325v1	0	54929		gneg
chrUn_KL568326v1	0	11525		gneg
chrUn_KL568327v1	0	3635		gneg
chrUn_KL568328v1	0	79909		gneg
chrUn_KL568329v1	0	16490		gneg
chrUn_KL568330v1	0	30684		gneg
chrUn_KL568331v1	0	13633		gneg
chrUn_KL568332v1	0	7699		gneg
chrUn_KL568333v1	0	5195		gneg
chrUn_KL568334v1	0	86017		gneg
chrUn_KL568335v1	0	10099		gneg
chrUn_KL568336v1	0	91174		gneg
chrUn_KL568337v1	0	70310		gneg
chrUn_KL568338v1	0	1318		gneg
chrUn_KL568339v1	0	3656		gneg
chrUn_KL568340v1	0	13915		gneg
chrUn_KL568341v1	0	11068		gneg
chrUn_KL568342v1	0	46249		gneg
chrUn_KL568343v1	0	23983		gneg
chrUn_KL568344v1	0	47276		gneg
chrUn_KL568345v1	0	35857		gneg
chrUn_KL568346v1	0	83525		gneg
chrUn_KL568347v1	0	3871		gneg
chrUn_KL568348v1	0	34944		gneg
chrUn_KL568349v1	0	21578		gneg
chrUn_KL568350v1	0	44681		gneg
chrUn_KL568351v1	0	16017		gneg
chrUn_KL568352v1	0	2296		gneg
chrUn_KL568353v1	0	246307		gneg
chrUn_KL568354v1	0	113311		gneg
chrUn_KL568355v1	0	51892		gneg
chrUn_KL568356v1	0	24824		gneg
chrUn_KL568357v1	0	42088		gneg
chrUn_KL568358v1	0	9478		gneg
chrUn_KL568359v1	0	25619		gneg
chrUn_KL568360v1	0	78647		gneg
chrUn_KL568361v1	0	38115		gneg
chrUn_KL568362v1	0	110326		gneg
chrUn_KL568363v1	0	4501		gneg
chrUn_KL568364v1	0	40094		gneg
chrUn_KL568365v1	0	3788		gneg
chrUn_KL568366v1	0	89457		gneg
chrUn_KL568367v1	0	7294		gneg
chrUn_KL568368v1	0	3026		gneg
chrUn_KL568369v1	0	1310		gneg
chrUn_KL568370v1	0	45784		gneg
chrUn_KL568371v1	0	1945		gneg
chrUn_KL568372v1	0	4252		gneg
chrUn_KL568373v1	0	12016		gneg
chrUn_KL568374v1	0	333641		gneg
chrUn_KL568375v1	0	1421		gneg
chrUn_KL568376v1	0	22589		gneg
chrUn_KL568377v1	0	78358		gneg
chrUn_KL568378v1	0	2442		gneg
chrUn_KL568379v1	0	85300		gneg
chrUn_KL568380v1	0	15687		gneg
chrUn_KL568381v1	0	64584		gneg
chrUn_KL568382v1	0	6932		gneg
chrUn_KL568383v1	0	7756		gneg
chrUn_KL568384v1	0	12708		gneg
chrUn_KL568385v1	0	1647		gneg
chrUn_KL568386v1	0	1285		gneg
chrUn_KL568387v1	0	31396		gneg
chrUn_KL568388v1	0	70933		gneg
chrUn_KL568389v1	0	23929		gneg
chrUn_KL568390v1	0	14001		gneg
chrUn_KL568391v1	0	25619		gneg
chrUn_KL568392v1	0	3563		gneg
chrUn_KL568393v1	0	5972		gneg
chrUn_KL568394v1	0	22601		gneg
chrUn_KL568395v1	0	56177		gneg
chrUn_KL568396v1	0	12101		gneg
chrUn_KL568397v1	0	75068		gneg
chrUn_KL568398v1	0	68568		gneg
chrUn_KL568399v1	0	30444		gneg
chrUn_KL568400v1	0	29228		gneg
chrUn_KL568401v1	0	3168		gneg
chrUn_KL568402v1	0	36615		gneg
chrUn_KL568403v1	0	22089		gneg
chrUn_KL568404v1	0	24694		gneg
chrUn_KL568405v1	0	151075		gneg
chrUn_KL568406v1	0	28554		gneg
chrUn_KL568407v1	0	2094		gneg
chrUn_KL568408v1	0	46319		gneg
chrUn_KL568409v1	0	409149		gneg
chrUn_KL568410v1	0	197620		gneg
chrUn_KL568411v1	0	21210		gneg
chrUn_KL568412v1	0	69990		gneg
chrUn_KL568413v1	0	115560		gneg
chrUn_KL568414v1	0	134730		gneg
chrUn_KL568415v1	0	110043		gneg
chrUn_KL568416v1	0	3052		gneg
chrUn_KL568417v1	0	62095		gneg
chrUn_KL568418v1	0	276968		gneg
chrUn_KL568419v1	0	82153		gneg
chrUn_KL568420v1	0	33038		gneg
chrUn_KL568421v1	0	106580		gneg
chrUn_KL568422v1	0	1106		gneg
chrUn_KL568423v1	0	57880		gneg
chrUn_KL568424v1	0	52566		gneg
chrUn_KL568425v1	0	11782		gneg
chrUn_KL568426v1	0	2831		gneg
chrUn_KL568427v1	0	24952		gneg
chrUn_KL568428v1	0	15511		gneg
chrUn_KL568429v1	0	1681		gneg
chrUn_KL568430v1	0	55205		gneg
chrUn_KL568431v1	0	45117		gneg
chrUn_KL568432v1	0	170578		gneg
chrUn_KL568433v1	0	51123		gneg
chrUn_KL568434v1	0	100599		gneg
chrUn_KL568435v1	0	2121		gneg
chrUn_KL568436v1	0	32325		gneg
chrUn_KL568437v1	0	13579		gneg
chrUn_KL568438v1	0	140435		gneg
chrUn_KL568439v1	0	31478		gneg
chrUn_KL568440v1	0	62701		gneg
chrUn_KL568441v1	0	15269		gneg
chrUn_KL568442v1	0	35498		gneg
chrUn_KL568443v1	0	61029		gneg
chrUn_KL568444v1	0	3439		gneg
chrUn_KL568445v1	0	55656		gneg
chrUn_KL568446v1	0	122070		gneg
chrUn_KL568447v1	0	122693		gneg
chrUn_KL568448v1	0	11863		gneg
chrUn_KL568449v1	0	148379		gneg
chrUn_KL568450v1	0	81653		gneg
chrUn_KL568451v1	0	259454		gneg
chrUn_KL568452v1	0	36554		gneg
chrUn_KL568453v1	0	56678		gneg
chrUn_KL568454v1	0	75706		gneg
chrUn_KL568455v1	0	11965		gneg
chrUn_KL568456v1	0	12647		gneg
chrUn_KL568457v1	0	30706		gneg
chrUn_KL568458v1	0	179901		gneg
chrUn_KL568459v1	0	3288		gneg
chrUn_KL568460v1	0	96610		gneg
chrUn_KL568461v1	0	43373		gneg
chrUn_KL568462v1	0	47307		gneg
chrUn_KL568463v1	0	78222		gneg
chrUn_KL568464v1	0	65989		gneg
chrUn_KL568465v1	0	161686		gneg
chrUn_KL568466v1	0	44605		gneg
chrUn_KL568467v1	0	46639		gneg
chrUn_KL568468v1	0	117679		gneg
chrUn_KL568469v1	0	5093		gneg
chrUn_KL568470v1	0	78834		gneg
chrUn_KL568471v1	0	37571		gneg
chrUn_KL568472v1	0	45419		gneg
chrUn_KL568473v1	0	555557		gneg
chrUn_KL568474v1	0	20991		gneg
chrUn_KL568475v1	0	29518		gneg
chrUn_KL568476v1	0	14444		gneg
chrUn_KL568477v1	0	79564		gneg
chrUn_KL568478v1	0	23222		gneg
chrUn_KL568479v1	0	38297		gneg
chrUn_KL568480v1	0	41802		gneg
chrUn_KL568481v1	0	30624		gneg
chrUn_KL568482v1	0	97190		gneg
chrUn_KL568483v1	0	36071		gneg
chrUn_KL568484v1	0	11932		gneg
chrUn_KL568485v1	0	27645		gneg
chrUn_KL568486v1	0	15907		gneg
chrUn_KL568487v1	0	150036		gneg
chrUn_KL568488v1	0	23475		gneg
chrUn_KL568489v1	0	1590		gneg
chrUn_KL568490v1	0	23674		gneg
chrUn_KL568491v1	0	2344		gneg
chrUn_KL568492v1	0	21680		gneg
chrUn_KL568493v1	0	6345		gneg
chrUn_KL568494v1	0	1167		gneg
chrUn_KL568495v1	0	11737		gneg
chrUn_KL568496v1	0	3657		gneg
chrUn_KL568497v1	0	4939		gneg
chrUn_KL568498v1	0	13834		gneg
chrUn_KL568499v1	0	13135		gneg
chrUn_KL568500v1	0	1783		gneg
chrUn_KL568501v1	0	1397		gneg
chrUn_KL568502v1	0	1892		gneg
chrUn_KL568503v1	0	2826		gneg
chrUn_KL568504v1	0	1296		gneg
chrUn_KL568505v1	0	11671		gneg
chrUn_KL568506v1	0	1171		gneg
chrUn_KL568507v1	0	24931		gneg
chrUn_KL568508v1	0	1166		gneg
chrUn_KL568509v1	0	2750		gneg
chrUn_KL568510v1	0	37283		gneg
chrUn_KL568511v1	0	24582		gneg
chrUn_KL568512v1	0	23752		gneg
chrUn_KL568513v1	0	4908		gneg
chrUn_KL568514v1	0	11876		gneg
chrUn_KL568515v1	0	2232		gneg
chrUn_KL568516v1	0	5687		gneg
chrUn_KL568517v1	0	13491		gneg
chrUn_KL568518v1	0	5301		gneg
chrX	0	7703212	q11	gvar
chrX	7703212	21440605	q12	gneg
chrX	21440605	29657364	q13	gpos
chrX	29657364	39286378	q14	gneg
chrX	39286378	59314727	q21	gpos
chrX	59314727	80883718	q22	gneg
chrX	80883718	100526907	q31	gpos
chrX	100526907	111953337	q32	gneg
chrX	111953337	115163008	q33	gpos
chrX	115163008	121967512	q34	gneg
chrX	121967512	134806197	q35	gpos
chrX	134806197	148543591	q36	gneg
chrX	148543591	159970021	q37	gpos
chrX_AABR07045681v1_random	0	712		gneg
chrX_AABR07045688v1_random	0	2649		gneg
chrX_AABR07045689v1_random	0	3045		gneg
chrX_AABR07045742v1_random	0	766		gneg
chrX_AABR07045743v1_random	0	702		gneg
chrX_AABR07045766v1_random	0	2378		gneg
chrX_AABR07045776v1_random	0	2721		gneg
chrX_KL568111v1_random	0	17895		gneg
chrX_KL568112v1_random	0	9469		gneg
chrX_KL568113v1_random	0	17247		gneg
chrX_KL568114v1_random	0	49370		gneg
chrX_KL568115v1_random	0	1634		gneg
chrX_KL568116v1_random	0	40570		gneg
chrX_KL568117v1_random	0	13665		gneg
chrX_KL568118v1_random	0	42845		gneg
chrX_KL568119v1_random	0	655		gneg
chrX_KL568120v1_random	0	4293		gneg
chrX_KL568121v1_random	0	14896		gneg
chrX_KL568122v1_random	0	32860		gneg
chrX_KL568123v1_random	0	4208		gneg
chrX_KL568124v1_random	0	3436		gneg
chrX_KL568125v1_random	0	72847		gneg
chrX_KL568126v1_random	0	69551		gneg
chrX_KL568127v1_random	0	9581		gneg
chrX_KL568128v1_random	0	5682		gneg
chrX_KL568129v1_random	0	22842		gneg
chrX_KL568130v1_random	0	29690		gneg
chrX_KL568131v1_random	0	13600		gneg
chrX_KL568132v1_random	0	13907		gneg
chrX_KL568133v1_random	0	29461		gneg
chrX_KL568134v1_random	0	31813		gneg
chrX_KL568135v1_random	0	16979		gneg
chrX_KL568136v1_random	0	41179		gneg
chrX_KL568137v1_random	0	47458		gneg
chrX_KL568138v1_random	0	4289		gneg
chrY	0	2482843	q11	gpos
chrY	2482843	3310458	q12	gneg
chrY_KL568139v1_random	0	9752924		gneg
chrY_KL568140v1_random	0	1351663		gneg
chrY_KL568141v1_random	0	2733323		gneg
chrY_KL568142v1_random	0	332284		gneg
chrY_KL568143v1_random	0	343819		gneg
chrY_KL568144v1_random	0	209128		gneg
chrY_KL568145v1_random	0	180016		gneg
chrY_KL568146v1_random	0	122062		gneg
chrY_KL568147v1_random	0	464092		gneg
chrY_KL568148v1_random	0	6483517		gneg
chrY_KL568149v1_random	0	3292674		gneg
chrY_KL568150v1_random	0	866433		gneg
chrY_KL568151v1_random	0	3931032		gneg
chrY_KL568152v1_random	0	1069101		gneg
chrY_KL568153v1_random	0	239643		gneg
chrY_KL568154v1_random	0	215559		gneg
chrY_KL568155v1_random	0	1365599		gneg
chrY_KL568156v1_random	0	2193381		gneg
chrY_KL568157v1_random	0	5447879		gneg
chrY_KL568158v1_random	0	1284477		gneg
chrY_KL568159v1_random	0	1977169		gneg
chrY_KL568160v1_random	0	4317250		gneg
chrY_KL568161v1_random	0	7627431		gneg
chrY_KL568162v1_random	0	10937627		gneg
chrY_KL568163v1_random	0	753291		gneg
chrY_KL568164v1_random	0	1009277		gneg
chrY_KL568165v1_random	0	398163		gneg
chrY_KL568166v1_random	0	188438		gneg
